Timestamp,Program,Indent,UI,Lang,OS,Browser,DE
11/23/2016 13:28:36,D,Tabs,GUI,C#,Windows 10,Firefox,Visual Studio
11/23/2016 13:49:42,D,Tabs,GUI,Delphi,Windows Vista,Internet Explorer,Xcode
11/23/2016 14:01:52,W,Tabs,GUI,MATLAB,macOS,Chrome,Atom
11/23/2016 14:37:12,D,Tabs,GUI,Python,Windows 10,Firefox,Eclipse
11/23/2016 14:46:31,D,Tabs,GUI,Scala,Windows Vista,Internet Explorer,IntelliJ
11/24/2016 18:14:28,D,Tabs,Terminal,Scala,Linux,Firefox,IntelliJ
11/23/2016 15:40:14,D,Tabs,Terminal,Scala,Linux,Firefox,Eclipse
11/23/2016 15:54:47,D,Tabs,Terminal,Java,macOS,Safari,Sublime Text
11/23/2016 16:24:42,D,Spaces,Terminal,Scala,Linux,Chrome,IntelliJ
11/23/2016 17:48:16,D,Tabs,Terminal,Java,Linux,Lynx,Vim
11/23/2016 22:24:50,W,Tabs,GUI,Scala,macOS,Chrome,Atom
11/23/2016 22:59:21,D,Spaces,GUI,Scala,Windows 10,Chrome,Eclipse
11/23/2016 23:18:36,D,Spaces,GUI,Java,Windows 10,Chrome,Android Studio
11/24/2016 8:25:46,D,Tabs,Terminal,Java,macOS,Chrome,Atom
11/24/2016 9:36:49,D,Spaces,Terminal,Scala,Linux,Chrome,Eclipse
11/24/2016 9:59:56,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
11/24/2016 13:28:05,D,Spaces,Terminal,Java,Linux,Chrome,Eclipse
11/24/2016 14:23:02,D,Tabs,GUI,Python,Windows 10,Firefox,Eclipse
11/24/2016 14:41:53,W,Tabs,GUI,Scala,macOS,Chrome,Eclipse
11/24/2016 21:20:39,D,Spaces,GUI,Java,Windows 10,Edge,Gedit
11/24/2016 21:37:39,D,Tabs,GUI,Scala,Linux,Chrome,Eclipse
11/25/2016 8:15:47,D,Tabs,Terminal,Scala,Linux,Firefox,IntelliJ
11/25/2016 11:14:58,D,Tabs,GUI,Visual Basic,Linux,Firefox,IntelliJ
11/25/2016 11:24:08,M,Tabs,GUI,Scala,Windows 10,Firefox,Eclipse
11/25/2016 14:12:28,D,Tabs,Terminal,Scala,Linux,Chrome,Eclipse
11/25/2016 14:29:58,W,Spaces,Terminal,MATLAB,Linux,Firefox,Eclipse
12/15/2016 16:20:46,F,Spaces,Terminal,Java,Windows 10,Safari,Xamarin
